작성자,시간,내용
wjdg****,2025.02.15. 18:36,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋ탄핵 반대 집회가 1만, 찬성 집회가 2만?ㅠ 언론사들은 진정 개돼지들인가"
blac****,2025.02.15. 19:23,"사진 비교가 되어서 하는 말인데,,,집결한 찬성 집회는 그냥 개인 모임 수준이네.. 사진만 봐도 탄핵 반대에 민심이 기울었다는 걸 알겠네"
kkom****,2025.02.15. 18:13,"왼쪽사진 탄핵반대측, 오른쪽 뜬금없는 태극기사진쪽이 탄핵찬성"
shb0****,2025.02.15. 18:01,불법적으로 탄핵하면 찐짜로 국민들이 헌재을 쓸어 버려야 한다고본다 단 탄핵이 불공정 하다고 보는 국민이 대다수 인정하면 헌제는 국민들이 쓸어버려야한다 ㆍ전선생님 말대로 ㆍ
jmyg****,2025.02.15. 22:08,썩어빠진 언론  정신차리라~  탄핵반대  탄핵찬성  인원수를  항상 꺼구로 보도하는데  직접현장에 있는국민들이 뭐라고 하겠습니까~  국민들을  바보로 보냐~  언론노조  민주노총 장악!  국민들 언론들 안믿는다~부정선거가 내란이다~ 부정선거 불법국회 해산 내란선동 수괴 전과4범 이재명을 즉시 구속하라~ 내란선동 여적죄  민주당!  부정선거 선관위 뜻뜻하면  밝혀라~ 그리고  국민앞에 사죄하고 감방가라~  탄핵이 내란이다~
shen****,2025.02.15. 20:50,광주사람들도 계몽령 지지하네.
wlwl****,2025.02.15. 21:27,언론사 얼마나 구라치는지 하나하나 다 수집중 나중에 구독자 없다고 문닫고 후회나 마시길
rlag****,2025.02.15. 18:03,사냥은 대통령님이아니라 저국회야말로 여의도 국회의원들이야말로 여야 죄다 끌려내려와야지 국회해산!!!
juli****,2025.02.15. 20:47,인제 민주당은 어쩌나ㅋㅋ 찬성집회하면  국민은 하나도없고 민노총만 오니 그게 집회라고 할수잇나?
juli****,2025.02.15. 20:46,진짜 탄핵반대 전국민 오늘집결!  자랑스럽습니다ㅎㅎ
thgo****,2025.02.16. 05:05,어떻게 이렇게 거짓으로 기사를 올리나! 반대집회가 훨씬 많았음에도 이런 거짓으로 선동하다니 보수가 유투브를 보는 이유는 여기에 있다. 반대집회가 2만멍이상! 찬성집회 몇천명! 손바닥으로 하늘을 가린다고 가려지는가! 예전에 유투브 방송이 없었을때는 그대로 당했던것이다. 이런 거짓 뉴스를 볼때면 진짜 거짓뒤에 진실이 무엇일까 궁금하고 국민들은 일어나게된다
only****,2025.02.15. 23:18,태극기 극혐하는 민주노총 종북단체들이 왜 태극기를 펼쳐놨나 이상했는데 지들도 자기들쪽에 얼마 안모일거 아니까 이쪽이 태극기집회라고 구라선동할라고 태극기 펼쳐놓은거네 ㅋㅋㅋㅋ
budd****,2025.02.16. 00:56,ㅋㅋㅋㅋㅋㅋㅋㅋ  대충 눈대중으로 보면 아는데  그게 그렇게 어렵나?  여기 기자들은 심봉사인가?
aljj****,2025.02.15. 22:24,위에 사진 중 오른 쪽 태극기 있는 곳이 탄핵 찬성 집회 입니다. 사람이 훨~~~~~~~~씬 적죠. 탄핵 반대가 왼쪽이에요. 사진 확대해 보세요^^
jeai****,2025.02.15. 23:02,언뜻 봐도 탄핵반대 집회가 압도적으로 많드만~또 조작질이네
forj****,2025.02.16. 09:58,광주나 전라도가 정치에 이용 당한게 광주 집회에서 드러남... 더불어 공산당 몰표는 부정선거로 조작한거였네  전라도를 국민한테서 갈라치기 한거였어....  ## 중국인(화교)  중국 OUT
f545****,2025.02.15. 22:15,정치인들이 지여감정조작하고 전라도경낭도가려놓고 정녕죄없는 두도사람들을 편을갈라놓고있는게 현실이다
tryi****,2025.02.15. 18:01,사진상 왼쪽이 바글바글 하긴 하네 왼쪽이 어느 진영이지
md51****,2025.02.15. 21:35,전라 인민 공화국에서 탄핵 반대라니 ~ 세상 많이 변했네
k230****,2025.02.16. 05:51,광주조차도 반대 인파가 많았음
kcy0****,2025.02.16. 10:52,기자야 너의 눈은 개논이 구나..
chin****,2025.02.16. 10:42,대한민국에 윤석열. 이재명만 있냐?  민주당이 탄핵한 국무의원. 공직자  엄청 많다며 제대로 붙으려면 이들 25명  전원을  소한해 탄핵 기각을 외쳐야  국민들도. 더 관심을 갔고. 이재명 방탄을 위한 탄핵이고 대통령을 허수아비로 만들려는 예산삭감 이었구나 알지
seo1****,2025.02.16. 10:18,언론은  썩었다  입을 입이라 하고 귀를 귀라해라 이 미친 언론들이 모든걸 거짓말하네
kata****,2025.02.16. 10:12,청주시민으로써 CJB는  전국뉴스보도 하지맙시다 지역뉴스만 내보넵시다
id--****,2025.02.16. 10:21,반대집회 대승!
